episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
320000,13666.1,271998.6,483984,243844,99.8000,99.5000,97.7500,93.6000,70.9000,0.0500,218744.55,400.00,0,0,0
322000,13750.2,268096.1,409300,243853,99.8500,99.6000,97.1500,92.9000,69.7000,0.0000,219188.78,402.38,0,0,0
324000,13833.8,268441.0,534620,243874,99.8500,99.1500,96.9500,92.4000,69.8500,0.1000,219204.75,400.78,0,0,0
326000,13919.2,271717.5,533032,243880,99.9500,99.3500,97.6000,94.0500,70.5000,0.1000,218974.86,400.31,0,0,0
328000,14004.8,268610.3,490900,243868,99.9000,99.5000,97.5500,92.6500,69.7000,0.1000,219349.15,399.92,0,0,0
330000,14090.4,273153.2,450440,243877,99.7500,99.0500,97.5000,94.1500,71.0500,0.0000,218890.43,397.30,0,0,0
332000,14178.2,273881.0,526964,243852,99.9000,99.2500,97.7000,94.1000,71.9500,0.1500,218783.38,400.92,0,0,0
334000,14263.5,272767.8,532748,243866,99.9000,99.3000,97.6000,92.8000,71.1500,0.1000,218495.11,402.32,0,0,0
336000,14350.5,274753.0,387564,243858,99.8000,99.4000,97.9000,93.3500,72.7500,0.0000,218750.69,401.85,0,0,0
338000,14435.9,271999.1,476868,243865,99.8500,99.4000,97.5500,93.5500,71.1000,0.0500,218993.86,400.26,0,0,0
340000,14521.8,271084.0,387292,243859,99.7000,99.1500,97.4500,93.0000,71.9500,0.0000,219198.63,398.21,0,0,0
342000,14608.0,271109.1,564264,243848,99.9500,99.6000,98.0000,92.5000,71.4000,0.1500,219494.04,396.31,0,0,0
344000,14696.0,273304.2,387228,243818,99.8000,99.4500,97.9000,93.8500,71.8500,0.0000,219009.69,400.88,0,0,0
346000,14782.4,274286.3,552844,243821,99.9000,99.3500,97.7500,93.8500,71.5500,0.0500,218771.65,399.78,0,0,0
348000,14866.0,267373.0,386892,243835,99.9000,99.4500,98.0500,93.5000,69.6500,0.0000,220228.90,397.16,0,0,0
350000,14950.5,266490.3,531204,243830,99.7000,99.0500,96.3500,91.8500,69.2500,0.0500,219556.82,399.66,0,0,0
352000,15036.6,273010.9,387616,243830,99.7500,99.3000,98.1000,93.4000,71.6000,0.0000,218808.35,405.06,0,0,0
354000,15123.9,273701.6,513620,243815,99.8500,99.3500,98.0500,94.4000,71.7000,0.0500,219336.40,398.06,0,0,0
356000,15209.0,269091.4,556608,243812,99.8000,99.4000,97.3500,92.3000,69.7500,0.1500,219256.71,400.24,0,0,0
358000,15293.2,269796.7,386744,243830,100.0000,99.6500,97.7500,93.5000,69.5000,0.0000,219348.54,400.48,0,0,0
360000,15379.2,275169.7,452552,243841,99.7500,99.1500,97.7500,93.4500,72.4500,0.0000,218586.93,401.40,0,0,0
362000,15465.0,267646.6,511508,243822,99.8500,99.5000,97.8000,93.3500,68.2000,0.0500,219656.66,402.75,0,0,0
364000,15551.1,271424.6,532512,243814,99.9000,99.5000,97.5000,92.6500,70.9000,0.1500,219338.20,398.28,0,0,0
366000,15636.3,270089.1,587724,243816,99.8000,99.3500,97.8000,93.3000,70.8000,0.0500,219956.73,396.40,0,0,0
368000,15720.6,271139.4,533196,243835,99.7500,99.2000,97.6000,92.7000,71.0000,0.0500,219268.07,401.05,0,0,0
370000,15806.3,274907.8,387116,243850,99.8500,99.5000,97.5500,93.1000,72.3500,0.0000,218706.00,404.34,0,0,0
372000,15891.4,276086.9,497924,243880,99.8500,99.1500,97.4500,93.8500,72.2000,0.1000,218864.72,400.92,0,0,0
374000,15977.3,272182.2,534272,243877,99.9000,99.4000,97.6500,93.0000,71.9500,0.1500,219253.75,399.83,0,0,0
376000,16062.4,271115.1,529596,243886,99.8000,99.4500,97.7000,93.5000,70.5000,0.0500,219504.76,401.34,0,0,0
378000,16148.5,269758.7,497352,243871,99.9000,99.3000,97.4500,93.2500,70.1500,0.0500,219684.94,398.31,0,0,0
380000,16233.6,273248.7,565952,243888,99.7500,99.4500,97.5500,93.1500,71.2000,0.1000,219000.42,401.45,0,0,0
382000,16316.4,266573.0,528668,243909,99.7500,99.2000,97.1500,93.0500,68.5000,0.1000,219937.70,399.33,0,0,0
384000,16401.3,271821.2,553644,243922,99.7000,99.1000,97.2500,93.3500,70.5000,0.3500,219343.63,400.03,0,0,0
386000,16486.2,270158.0,556976,243927,99.7500,99.3000,97.4500,93.2000,70.1000,0.2000,219469.17,401.17,0,0,0
388000,16574.1,274428.0,386816,243908,99.9000,99.4500,97.6000,93.8000,72.0000,0.0000,219155.84,398.57,0,0,0
